""2017-07-06 18:35:05 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-07-06 18:35:05 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
""2017-07-06 18:35:05 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
""2017-07-06 18:35:05 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
""2017-07-06 18:35:05 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1cbb87f3: startup date [Thu Jul 06 18:35:02 IST 2017]; root of context hierarchy
""2017-07-06 18:35:05 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/]}" onto private java.lang.String com.dashboard.controller.HomeController.home()
""2017-07-06 18:35:05 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2017-07-06 18:35:05 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2017-07-06 18:35:05 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
""2017-07-06 18:35:05 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
""2017-07-06 18:35:05 [main] INFO  o.s.w.s.h.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
""2017-07-06 18:35:05 [main] INFO  o.s.b.a.w.WebMvcAutoConfiguration$WelcomePageHandlerMapping - Adding welcome page: ServletContext resource [/index.html]
""2017-07-06 18:35:05 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-07-06 18:35:05 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-07-06 18:35:05 [main] INFO  com.dashboard.DashboardApplication - Started DashboardApplication in 3.389 seconds (JVM running for 3.851)
""2017-07-06 18:35:12 [http-nio-8080-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-07-06 18:35:12 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
""2017-07-06 18:35:12 [http-nio-8080-exec-3] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 24 ms
""2017-07-06 18:41:41 [main] INFO  com.dashboard.DashboardApplication - Starting DashboardApplication on DLUSCHO2075154 with PID 8044 (started by scho20 in D:\workspaces\workspace 4.0\dashboard)
""2017-07-06 18:41:41 [main] DEBUG com.dashboard.DashboardApplication - Running with Spring Boot v1.5.4.RELEASE, Spring v4.3.9.RELEASE
""2017-07-06 18:41:41 [main] INFO  com.dashboard.DashboardApplication - No active profile set, falling back to default profiles: default
""2017-07-06 18:41:41 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6156496: startup date [Thu Jul 06 18:41:41 IST 2017]; root of context hierarchy
""2017-07-06 18:41:42 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-07-06 18:41:42 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-07-06 18:41:42 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.15
""2017-07-06 18:41:42 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-07-06 18:41:42 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1388 ms
""2017-07-06 18:41:43 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-07-06 18:41:43 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-07-06 18:41:43 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/]}" onto private java.lang.String com.dashboard.controller.HomeController.home()
""2017-07-06 18:41:43 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2017-07-06 18:41:43 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2017-07-06 18:41:43 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6156496: startup date [Thu Jul 06 18:41:41 IST 2017]; root of context hierarchy
""2017-07-06 18:41:43 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-07-06 18:41:43 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-07-06 18:41:43 [main] INFO  com.dashboard.DashboardApplication - Started DashboardApplication in 2.388 seconds (JVM running for 3.104)
""2017-07-06 18:41:54 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-07-06 18:41:54 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
""2017-07-06 18:41:54 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 14 ms
""2017-07-06 18:41:54 [http-nio-8080-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/WEB-INF/index.html] in DispatcherServlet with name 'dispatcherServlet'
""2017-07-06 18:41:57 [http-nio-8080-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/WEB-INF/index.html] in DispatcherServlet with name 'dispatcherServlet'
""2017-07-06 18:43:22 [RMI TCP Connection(2)-10.207.185.39] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2017-07-06 18:43:22 [RMI TCP Connection(2)-10.207.185.39] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6156496: startup date [Thu Jul 06 18:41:41 IST 2017]; root of context hierarchy
""2017-07-06 18:43:22 [RMI TCP Connection(2)-10.207.185.39] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2017-07-06 18:43:27 [main] INFO  com.dashboard.DashboardApplication - Starting DashboardApplication on DLUSCHO2075154 with PID 13672 (started by scho20 in D:\workspaces\workspace 4.0\dashboard)
""2017-07-06 18:43:27 [main] DEBUG com.dashboard.DashboardApplication - Running with Spring Boot v1.5.4.RELEASE, Spring v4.3.9.RELEASE
""2017-07-06 18:43:27 [main] INFO  com.dashboard.DashboardApplication - No active profile set, falling back to default profiles: default
""2017-07-06 18:43:27 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6156496: startup date [Thu Jul 06 18:43:27 IST 2017]; root of context hierarchy
""2017-07-06 18:43:28 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-07-06 18:43:28 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-07-06 18:43:28 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.15
""2017-07-06 18:43:29 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
""2017-07-06 18:43:29 [localhost-startStop-1] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1314 ms
""2017-07-06 18:43:29 [localhost-startStop-1] INFO  o.s.b.w.s.ServletRegistrationBean - Mapping servlet: 'dispatcherServlet' to [/]
""2017-07-06 18:43:29 [localhost-startStop-1] INFO  o.s.b.w.s.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
""2017-07-06 18:43:29 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/]}" onto private java.lang.String com.dashboard.controller.HomeController.home()
""2017-07-06 18:43:29 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
""2017-07-06 18:43:29 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
""2017-07-06 18:43:29 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6156496: startup date [Thu Jul 06 18:43:27 IST 2017]; root of context hierarchy
""2017-07-06 18:43:29 [main] INFO  o.s.j.e.a.AnnotationMBeanExporter - Registering beans for JMX exposure on startup
""2017-07-06 18:43:29 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat started on port(s): 8080 (http)
""2017-07-06 18:43:29 [main] INFO  com.dashboard.DashboardApplication - Started DashboardApplication in 2.363 seconds (JVM running for 3.063)
""2017-07-06 18:43:32 [http-nio-8080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring FrameworkServlet 'dispatcherServlet'
""2017-07-06 18:43:32 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization started
""2017-07-06 18:43:32 [http-nio-8080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - FrameworkServlet 'dispatcherServlet': initialization completed in 14 ms
""2017-07-06 18:43:32 [http-nio-8080-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/index.html] in DispatcherServlet with name 'dispatcherServlet'
""2017-07-06 18:43:35 [http-nio-8080-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/index.html] in DispatcherServlet with name 'dispatcherServlet'
""2017-07-06 18:44:15 [RMI TCP Connection(2)-10.207.185.39] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
""2017-07-06 18:44:15 [RMI TCP Connection(2)-10.207.185.39] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6156496: startup date [Thu Jul 06 18:43:27 IST 2017]; root of context hierarchy
""2017-07-06 18:44:15 [RMI TCP Connection(2)-10.207.185.39] INFO  o.s.j.e.a.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
""2017-07-06 18:44:21 [main] INFO  com.dashboard.DashboardApplication - Starting DashboardApplication on DLUSCHO2075154 with PID 7228 (started by scho20 in D:\workspaces\workspace 4.0\dashboard)
""2017-07-06 18:44:21 [main] DEBUG com.dashboard.DashboardApplication - Running with Spring Boot v1.5.4.RELEASE, Spring v4.3.9.RELEASE
""2017-07-06 18:44:21 [main] INFO  com.dashboard.DashboardApplication - No active profile set, falling back to default profiles: default
""2017-07-06 18:44:21 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6156496: startup date [Thu Jul 06 18:44:21 IST 2017]; root of context hierarchy
""2017-07-06 18:44:22 [main] INFO  o.s.b.c.e.t.TomcatEmbeddedServletContainer - Tomcat initialized with port(s): 8080 (http)
""2017-07-06 18:44:22 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
""2017-07-06 18:44:22 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.15
""2017-07-06 18:44:23 [localhost-startStop-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
